word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
B AE L,3,-10.362046730148755,-9.72608748163445,1.1847428623894263,1.0121795988572762
B AE P,3,-11.033268779328981,-11.495553294614842,1.1544305771332608,1.0089727575959186
B IH S,3,-9.40070769016222,-9.159839514959963,1.236220388890724,1.0267346698982924
CH AE L,3,-11.720820025288898,-12.02952666084531,1.1399628081562234,1.007543862227419
CH AE N,3,-11.517644275219581,-11.05322470999305,1.1644340611149162,1.0134994245699402
CH EH N,3,-11.291310928537271,-10.89779807996928,1.1733663341334215,1.0139918193038735
CH IH S,3,-10.75948098530236,-11.46260350002686,1.191440334657521,1.022928089413613
D AE L,3,-9.87799134744737,-11.192708725441033,1.1945349684454671,1.0081845737941473
D AE S,3,-9.868805241845081,-11.282362600850902,1.2088512240765277,1.0077264536139534
D EH M,3,-10.26256207581497,-10.697919420092093,1.1843025472591928,1.0112917798587124
D EH P,3,-10.322880049945287,-11.798842666381553,1.173154956207807,1.0093065924112055
D EH S,3,-9.642471895162771,-9.748328904254267,1.217783497095033,1.0125897870359286
D IH DH,3,-12.90281229114849,-13.011565180624611,1.1675975907702358,1.0287649346932701
D IH JH,3,-10.815785378079395,-9.847130174178941,1.1751565737434357,1.029681175053658
D IH T,3,-8.783981484869674,-8.393769527515962,1.2286039280993952,1.0340333167655005
D IH TH,3,-11.684726349346088,-11.29975989607619,1.1717206723919813,1.02903217146505
D IH V,3,-10.365978030427723,-9.062370476133916,1.18817482219728,1.0318572459095794
D IH Z,3,-10.527788493725126,-8.59285878944288,1.1845098607557287,1.0323153660897733
D IH ZH,3,-12.923325830981591,-12.869946120979069,1.1660705235029227,1.028344991194759
F AE L,3,-10.541131437123969,-10.318755995658446,1.1800351190932528,1.0092398634334643
F AE S,3,-10.53194533152168,-10.408409871068315,1.1943513747243133,1.0087817432532704
F EH K,3,-10.541491842651727,-9.864518333478784,1.1763690871564245,1.0094689235235614
F EH S,3,-10.30561198483937,-9.7500555553423,1.2032836477428184,1.0088962732983189
F IH K,3,-9.81567225494979,-9.235909452170446,1.2045980850081563,1.0130703444517974
F IH S,3,-9.579792397137433,-9.014291565346936,1.2315126455945502,1.026508536404153
G AE N,3,-10.753162946796763,-9.76538221687807,1.1830390626213942,1.0147054698720168
G EH N,3,-10.526829600114453,-10.605693965390685,1.1919713356398993,1.0132003520743857
G IH N,3,-9.801010012412517,-10.381671513452982,1.2202003334916312,1.0100219321748523
G IH S,3,-9.994999656879543,-10.718852550343815,1.210045336163999,1.0231165339920625
HH AE N,3,-11.183982899240402,-8.329218370871374,1.1955804907624006,1.0169291158977207
HH AE S,3,-11.377972543707427,-9.395174197133505,1.185425493434768,1.0105154333750057
HH EH S,3,-11.151639197025117,-9.196679061581452,1.1943577664532734,1.0109691636612632
JH IH S,3,-10.263448838948575,-10.146777590498873,1.1978805274866864,1.0230034672449928
K AE DH,3,-13.538508544214272,-14.183126404061309,1.158193174374238,1.0093125765373547
K AE G,3,-11.183032449076148,-11.846694555413404,1.1727384900953954,1.0113359406665445
K AE K,3,-9.788228418338974,-9.719522813452357,1.209693517964373,1.0156117290150213
K AE NG,3,-11.49393173453063,-9.328860424987173,1.16685928111624,1.0127103012071264
K AE TH,3,-12.32042260241187,-11.885556699991534,1.1623162559959834,1.0099997568076458
K AE Z,3,-11.163484746790909,-11.191161063580058,1.1751054443597309,1.009694343354183
K AE ZH,3,-13.559022084047374,-13.955033746411937,1.1566661071069249,1.009465283264086
K EH K,3,-9.561895071656664,-11.02067247365202,1.2186257909828784,1.0087151452097634
K EH L,3,-9.335201319446597,-11.031698723375092,1.2312240959382117,1.009898622341931
K EH S,3,-9.326015213844308,-10.906209695515539,1.2455403515692722,1.008142494984521
L AE L,3,-9.334840913918837,-10.667966874525936,1.163200229066136,1.0103328419884714
L AE N,3,-9.131665163849522,-9.691664923673674,1.1876714820248289,1.0162884043309925
L AE T,3,-9.19298398572539,-10.512633236085833,1.160107917849827,1.0090348348112552
L EH L,3,-9.108507567236527,-10.859522992856723,1.1721325020846414,1.0116700013793563
L IH S,3,-8.373501873932302,-9.562792845187973,1.2146777555674337,1.026847736645362
M AE B,3,-10.972950805198664,-12.385828893179088,1.1431277056785762,1.0104284800940295
M AE L,3,-9.945744988968746,-9.551863627048576,1.1849311721212732,1.014742445124189
M AE V,3,-11.385884606333349,-11.246847407076675,1.141409755002849,1.0100467132772013
M AE Z,3,-11.547695069630748,-11.170780306354143,1.1377447935612977,1.0090159428717649
M EH K,3,-9.946105394496504,-9.705324664761417,1.1812651401844452,1.0122202143689236
M EH M,3,-10.330315717336346,-10.54045240246276,1.1746987509349986,1.0103495569664651
M IH M,3,-9.60449612963441,-10.311987234076748,1.2029277487867305,1.014853560807287
M IH P,3,-9.664814103764726,-11.326535086198827,1.1917801577353446,1.014242733900362
N AE L,3,-9.131665163849522,-12.011865125292859,1.1538600663665277,1.008599151866736
N EH N,3,-8.702156067097896,-10.954973527173493,1.1872635923437258,1.0146702197862916
N IH N,3,-7.976336479395959,-10.241778014055793,1.2154925901954576,1.010549576994511
N IH S,3,-8.170326123862985,-10.578959050946626,1.2053375928678254,1.023644178811721
P AE B,3,-11.033268779328981,-12.511620859449133,1.1681352380678502,1.0074887446702177
P AE G,3,-11.627560746046306,-11.952105764457535,1.1603853716862362,1.0077178047603146
P AE JH,3,-11.896009928115337,-11.711727994245193,1.1533990389382787,1.0059998540845874
P AE V,3,-11.446202580463666,-11.37263937334672,1.166417287392123,1.0071069778533894
