word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
HH AE N,3,-11.183982899240402,nan,-11.183600038593097,nan,-8.294551290979665,nan,-8.329218370871374,nan,1.1955804907624004,nan,1.1954050975924029,nan,1.0169291158977207,nan,1.016074821861362,nan
HH AE S,3,-11.377972543707427,nan,-11.37757306179217,nan,-9.361638469182457,nan,-9.395174197133505,nan,1.185425493434768,nan,1.185265197466607,nan,1.0105154333750055,nan,1.010013122420626,nan
HH EH S,3,-11.151639197025117,nan,-11.151285928308795,nan,-9.163780221454026,nan,-9.196679061581452,nan,1.1943577664532734,nan,1.194184360495359,nan,1.0109691636612632,nan,1.0104421769201817,nan
JH IH S,3,-10.263448838948575,nan,-10.263300416041602,nan,-10.122217481751445,nan,-10.146777590498873,nan,1.1978805274866864,nan,1.1977019252259566,nan,1.0230034672449926,nan,1.0218136381678071,nan
K AE DH,3,-13.538508544214272,nan,-13.533761152040977,nan,-14.142933318510895,nan,-14.183126404061309,nan,1.1581931743742377,nan,1.1580743885124634,nan,1.0093125765373547,nan,1.0088792276733485,nan
K AE G,3,-11.183032449076148,nan,-11.18286701107634,nan,-11.830401713819835,nan,-11.846694555413404,nan,1.1727384900953952,nan,1.172598080046028,nan,1.0113359406665448,nan,1.0107915495207234,nan
K AE K,3,-9.788228418338974,nan,-9.788424989259383,nan,-9.705512462314886,nan,-9.719522813452357,nan,1.2096935179643729,nan,1.2094981677218561,nan,1.0156117290150215,nan,1.0148326824812142,nan
K AE NG,3,-11.49393173453063,nan,-11.49359082984035,nan,-9.29732943412365,nan,-9.328860424987173,nan,1.1668592811162397,nan,1.1667276115521463,nan,1.0127103012071266,nan,1.0120904851151669,nan
K AE TH,3,-12.32042260241187,nan,-12.319238136819887,nan,-11.848339787252485,nan,-11.885556699991534,nan,1.1623162559959832,nan,1.1621913404432376,nan,1.0099997568076458,nan,1.00952869547057,nan
K AE Z,3,-11.163484746790909,nan,-11.163328624467212,nan,-11.186284155685339,nan,-11.191161063580058,nan,1.1751054443597306,nan,1.1749615154136948,nan,1.009694343354183,nan,1.0092400431162494,nan
